"word";"frequency"
"doe";16550
"file";12835
"work";9268
"open";9210
"page";9131
"error";8924
"use";8351
"view";7907
"dialog";6758
"crash";6649
"window";6188
"text";6133
"new";5760
"editor";5727
"chang";5377
"select";5165
"type";5119
"fail";5066
"set";4871
"problem";4839
"import";4747
"tab";4731
"instal";4541
"show";4489
"updat";4460
"document";4333
"project";4289
"menu";4265
"save";4213
"add";4054
"display";4054
"java";3981
"code";3941
"search";3940
"wrong";3910
"button";3821
"prefer";3766
"link";3714
"need";3558
"build";3556
"bookmark";3532
"method";3482
"option";3475
"task";3390
"name";3390
"miss";3258
"load";3185
"close";3138
"caus";3124
"creat";3107
"class";3101
"eclips";3100
"line";3085
"default";3061
"support";3043
"format";3006
"npe";2900
"compil";2888
"incorrect";2877
"cvs";2827
"toolbar";2819
"run";2814
"ca";2744
"click";2739
"bar";2714
"tabl";2701
"help";2677
"word";2666
"download";2640
"refactor";2624
"browser";2592
"sourc";2557
"delet";2516
"plugin";2511
"icon";2496
"content";2496
"packag";2481
"imag";2481
"start";2478
"export";2469
"correct";2442
"except";2427
"ant";2425
"print";2409
"remov";2376
"extens";2345
"get";2334
"folder";2313
"field";2296
"allow";2241
"find";2215
"font";2204
"url";2191
"wizard";2150
"manag";2143
"messag";2133
"list";2085
"launch";2084
"key";2083
"properti";2066
