"word";"frequency"
"file";8765
"page";7675
"error";7540
"view";6877
"text";6058
"work";6046
"new";5716
"dialog";5602
"open";5296
"editor";4988
"menu";4240
"files";4023
"java";3972
"code";3803
"wrong";3796
"window";3761
"add";3721
"using";3719
"search";3555
"fails";3510
"type";3465
"crash";3462
"project";3315
"eclipse";3093
"missing";3082
"document";3000
"tab";2986
"build";2926
"import";2917
"npe";2899
"update";2878
"use";2869
"cvs";2820
"problem";2820
"default";2798
"crashes";2794
"show";2762
"button";2747
"ca";2743
"support";2731
"help";2604
"method";2603
"bar";2569
"task";2542
"set";2539
"browser";2503
"source";2447
"working";2432
"toolbar";2418
"ant";2415
"windows";2411
"line";2403
"change";2347
"class";2343
"name";2312
"causes";2290
"word";2277
"refactoring";2265
"opening";2189
"preferences";2183
"save";2151
"table";2135
"find";2058
"display";2043
"need";2037
"problems";2011
"javadoc";2001
"exception";1981
"link";1975
"bookmarks";1971
"incorrect";1969
"option";1949
"workbench";1944
"selection";1896
"url";1863
"content";1841
"package";1816
"context";1807
"allow";1786
"correctly";1763
"manager";1763
"plugin";1742
"ui";1730
"export";1728
"unable";1715
"wizard";1710
"message";1710
"download";1709
"folder";1705
"assist";1685
"multiple";1649
"install";1643
"list";1641
"format";1606
"font";1569
"broken";1562
"changes";1555
"extension";1539
"bookmark";1537
"icon";1535
